Datetime,Close,High,Low,Open,Volume
2026-02-25 14:30:00+00:00,391.7300109863281,391.8800048828125,390.20001220703125,390.23748779296875,1834326
2026-02-25 14:31:00+00:00,393.0,393.1499938964844,391.3800048828125,391.7349853515625,259712
2026-02-25 14:32:00+00:00,393.3349914550781,393.7099914550781,392.7799987792969,393.010009765625,202431
2026-02-25 14:33:00+00:00,391.7001037597656,393.7200012207031,391.4599914550781,393.3900146484375,246810
2026-02-25 14:34:00+00:00,392.6400146484375,393.07000732421875,391.69000244140625,391.69000244140625,134814
2026-02-25 14:35:00+00:00,392.8699951171875,393.1400146484375,392.5,392.6499938964844,161991
2026-02-25 14:36:00+00:00,393.1300048828125,393.1400146484375,392.4100036621094,392.875,119007
2026-02-25 14:37:00+00:00,392.67999267578125,393.8900146484375,392.62799072265625,393.1300048828125,113903
2026-02-25 14:38:00+00:00,392.69000244140625,392.8500061035156,392.3999938964844,392.6695861816406,102725
2026-02-25 14:39:00+00:00,392.92498779296875,393.1700134277344,392.6400146484375,392.7099914550781,100684
2026-02-25 14:40:00+00:00,393.2984924316406,393.5,392.73748779296875,392.9382019042969,106013
2026-02-25 14:41:00+00:00,393.260009765625,393.3550109863281,392.8900146484375,393.260009765625,83792
2026-02-25 14:42:00+00:00,393.239990234375,393.6499938964844,393.0824890136719,393.2799987792969,79867
2026-02-25 14:43:00+00:00,393.1300048828125,393.7640075683594,393.0299987792969,393.2200012207031,1700127
2026-02-25 14:44:00+00:00,393.0350036621094,393.1499938964844,392.7699890136719,393.1300048828125,0
2026-02-25 14:45:00+00:00,393.3900146484375,393.8299865722656,392.8999938964844,393.0299987792969,93359
2026-02-25 14:46:00+00:00,394.1170959472656,394.25,393.2799987792969,393.3900146484375,1903192
2026-02-25 14:47:00+00:00,394.5400085449219,394.8699951171875,394.05999755859375,394.135009765625,0
2026-02-25 14:48:00+00:00,394.2850036621094,394.6299133300781,393.8504943847656,394.54998779296875,116218
2026-02-25 14:49:00+00:00,394.8699951171875,394.9599914550781,394.2200012207031,394.32000732421875,89714
2026-02-25 14:50:00+00:00,395.1099853515625,395.25,394.80010986328125,394.875,117977
2026-02-25 14:51:00+00:00,396.0249938964844,396.260009765625,395.0799865722656,395.0899963378906,114969
2026-02-25 14:52:00+00:00,395.8851013183594,396.3299865722656,395.8699951171875,396.0249938964844,89008
2026-02-25 14:53:00+00:00,395.95001220703125,396.1700134277344,395.739990234375,395.885009765625,2249264
2026-02-25 14:54:00+00:00,396.44000244140625,396.55999755859375,395.79998779296875,395.95001220703125,0
2026-02-25 14:55:00+00:00,396.9200134277344,396.989990234375,396.3999938964844,396.4599914550781,85126
