Datetime,Open,High,Low,Close,Volume,Symbol
2026-03-06 09:30:00,198.94,199.91,198.75,199.26,2757221,TSLA
2026-03-06 09:35:00,198.49,198.87,198.13,198.79,1887624,TSLA
2026-03-06 09:40:00,199.76,200.08,199.6,199.72,2262113,TSLA
2026-03-06 09:45:00,198.52,198.96,198.12,198.73,1804504,TSLA
2026-03-06 09:50:00,197.11,197.46,196.92,197.14,1491035,TSLA
2026-03-06 09:55:00,197.95,198.36,197.81,198.19,2903708,TSLA
2026-03-06 10:00:00,198.55,198.94,197.76,198.78,1556820,TSLA
2026-03-06 10:05:00,199.35,199.4,198.79,199.08,1985725,TSLA
2026-03-06 10:10:00,199.03,199.58,198.65,199.08,1376442,TSLA
2026-03-06 10:15:00,198.48,198.81,198.13,198.2,2719483,TSLA
2026-03-06 10:20:00,197.41,197.89,197.22,197.44,1649182,TSLA
2026-03-06 10:25:00,196.65,197.12,196.23,196.87,2142195,TSLA
2026-03-06 10:30:00,198.52,198.91,198.26,198.69,2182114,TSLA
2026-03-06 10:35:00,198.67,198.82,198.51,198.72,2010171,TSLA
2026-03-06 10:40:00,197.94,198.32,197.81,198.18,2260551,TSLA
2026-03-06 10:45:00,198.72,199.14,197.69,198.36,2967716,TSLA
2026-03-06 10:50:00,199.32,199.64,199.28,199.29,1652336,TSLA
2026-03-06 10:55:00,199.41,199.63,198.89,199.51,2090694,TSLA
2026-03-06 11:00:00,200.07,200.11,199.74,199.96,1731784,TSLA
2026-03-06 11:05:00,199.77,200.02,199.69,200.01,1427713,TSLA
2026-03-06 11:10:00,200.0,200.45,199.73,200.22,1962234,TSLA
2026-03-06 11:15:00,198.42,198.57,198.03,198.45,1335369,TSLA
2026-03-06 11:20:00,198.21,198.76,198.1,198.43,1990658,TSLA
2026-03-06 11:25:00,197.96,198.46,197.64,198.22,2018863,TSLA
2026-03-06 11:30:00,199.24,199.48,199.03,199.27,2234141,TSLA
2026-03-06 11:35:00,200.12,200.3,199.8,200.02,2521328,TSLA
2026-03-06 11:40:00,200.38,201.1,200.16,200.69,2328854,TSLA
2026-03-06 11:45:00,199.92,200.42,199.46,200.07,1553512,TSLA
2026-03-06 11:50:00,199.87,200.11,199.6,200.1,2220925,TSLA
2026-03-06 11:55:00,200.5,200.62,200.49,200.51,1463215,TSLA
2026-03-06 12:00:00,200.22,200.52,199.82,200.51,1752496,TSLA
2026-03-06 12:05:00,198.36,198.83,197.92,198.26,2555278,TSLA
2026-03-06 12:10:00,197.83,198.07,197.61,197.67,2114541,TSLA
2026-03-06 12:15:00,198.61,198.66,198.29,198.56,2590861,TSLA
2026-03-06 12:20:00,199.08,199.35,198.76,198.87,2183592,TSLA
2026-03-06 12:25:00,197.95,198.24,197.6,197.99,1451974,TSLA
2026-03-06 12:30:00,198.87,199.04,198.87,198.96,1738686,TSLA
2026-03-06 12:35:00,199.83,200.06,199.39,199.43,1978520,TSLA
2026-03-06 12:40:00,199.28,199.91,199.12,199.48,2846784,TSLA
2026-03-06 12:45:00,199.86,199.99,199.64,199.9,1997509,TSLA
2026-03-06 12:50:00,201.78,201.9,201.41,201.48,1651028,TSLA
2026-03-06 12:55:00,201.31,201.48,200.43,201.24,2203446,TSLA
2026-03-06 13:00:00,202.17,202.81,202.13,202.14,1820948,TSLA
2026-03-06 13:05:00,202.75,203.18,202.58,202.88,1019329,TSLA
2026-03-06 13:10:00,203.13,203.95,202.66,203.54,2784673,TSLA
2026-03-06 13:15:00,203.31,203.65,203.24,203.57,1994538,TSLA
2026-03-06 13:20:00,202.55,202.95,202.43,202.77,1501767,TSLA
2026-03-06 13:25:00,200.87,201.15,200.78,201.06,2560486,TSLA
2026-03-06 13:30:00,199.63,199.87,199.57,199.73,1642813,TSLA
2026-03-06 13:35:00,199.26,199.72,198.98,199.44,2156334,TSLA
2026-03-06 13:40:00,199.16,199.63,198.91,199.46,2183441,TSLA
2026-03-06 13:45:00,199.96,200.38,199.73,200.09,2029290,TSLA
2026-03-06 13:50:00,200.82,201.01,200.73,200.87,2075364,TSLA
2026-03-06 13:55:00,200.86,201.53,200.8,201.26,2276421,TSLA
2026-03-06 14:00:00,199.6,200.39,199.59,199.84,1875886,TSLA
2026-03-06 14:05:00,199.97,199.99,199.55,199.77,2723607,TSLA
2026-03-06 14:10:00,200.31,200.86,199.63,200.45,1585286,TSLA
2026-03-06 14:15:00,199.85,200.02,199.47,199.95,2019584,TSLA
2026-03-06 14:20:00,198.52,198.61,198.36,198.42,1930645,TSLA
2026-03-06 14:25:00,198.16,198.55,197.92,197.93,3216109,TSLA
2026-03-06 14:30:00,199.13,199.3,198.79,199.05,1992277,TSLA
2026-03-06 14:35:00,199.83,201.45,199.71,200.34,2382641,TSLA
2026-03-06 14:40:00,201.81,201.93,201.78,201.83,1804052,TSLA
2026-03-06 14:45:00,201.75,202.35,201.72,201.78,2060500,TSLA
2026-03-06 14:50:00,201.2,201.43,201.16,201.27,2142636,TSLA
2026-03-06 14:55:00,203.4,203.79,202.87,203.26,2704962,TSLA
2026-03-06 15:00:00,204.42,204.69,203.44,204.45,2452333,TSLA
2026-03-06 15:05:00,203.96,204.27,203.83,204.06,1578801,TSLA
2026-03-06 15:10:00,204.01,204.82,203.43,204.0,1935936,TSLA
2026-03-06 15:15:00,203.82,203.92,203.12,203.72,1099903,TSLA
2026-03-06 15:20:00,205.68,205.93,204.49,205.08,1806871,TSLA
2026-03-06 15:25:00,205.14,205.27,204.72,205.12,2245307,TSLA
2026-03-06 15:30:00,206.12,206.14,205.67,206.1,1878476,TSLA
2026-03-06 15:35:00,205.93,206.36,205.89,206.08,1295543,TSLA
2026-03-06 15:40:00,207.34,207.45,207.23,207.42,1900210,TSLA
2026-03-06 15:45:00,208.4,208.79,208.19,208.34,2468335,TSLA
2026-03-06 15:50:00,208.78,209.0,208.53,208.8,1914666,TSLA
2026-03-06 15:55:00,210.66,211.02,210.08,210.42,2017770,TSLA
2026-03-09 09:30:00,210.03,210.15,209.79,210.08,1878522,TSLA
2026-03-09 09:35:00,209.59,209.84,209.43,209.76,1983697,TSLA
2026-03-09 09:40:00,209.97,210.15,209.08,209.63,2390516,TSLA
2026-03-09 09:45:00,208.17,208.6,208.1,208.46,1652534,TSLA
2026-03-09 09:50:00,208.87,209.09,208.78,209.05,1246941,TSLA
2026-03-09 09:55:00,208.53,209.19,208.26,208.87,1509414,TSLA
2026-03-09 10:00:00,208.49,208.82,208.39,208.44,1380053,TSLA
2026-03-09 10:05:00,207.75,208.65,207.31,208.11,1341614,TSLA
2026-03-09 10:10:00,208.73,208.96,208.43,208.9,1703228,TSLA
2026-03-09 10:15:00,209.45,209.56,209.11,209.28,2096202,TSLA
2026-03-09 10:20:00,209.31,209.4,209.09,209.19,2048365,TSLA
2026-03-09 10:25:00,208.19,208.43,207.66,207.91,1399079,TSLA
2026-03-09 10:30:00,206.72,207.7,206.67,207.01,2720275,TSLA
2026-03-09 10:35:00,207.5,208.25,207.21,207.39,2213332,TSLA
2026-03-09 10:40:00,207.24,207.73,206.5,207.43,2105033,TSLA
2026-03-09 10:45:00,207.4,207.81,207.02,207.74,1815641,TSLA
2026-03-09 10:50:00,206.61,206.75,206.33,206.72,1689738,TSLA
2026-03-09 10:55:00,205.82,206.01,205.48,205.91,1584747,TSLA
2026-03-09 11:00:00,206.62,207.02,205.7,206.24,2391472,TSLA
2026-03-09 11:05:00,207.33,207.58,207.24,207.55,2416425,TSLA
2026-03-09 11:10:00,208.63,208.68,208.33,208.4,578750,TSLA
2026-03-09 11:15:00,208.33,208.35,207.99,208.0,725611,TSLA
