Datetime,Open,High,Low,Close,Volume,Symbol
2026-03-06 09:30:00,420.14,420.57,420.09,420.44,2317515,MSFT
2026-03-06 09:35:00,421.02,421.3,420.27,420.54,2558508,MSFT
2026-03-06 09:40:00,420.52,420.92,420.5,420.79,2856671,MSFT
2026-03-06 09:45:00,421.2,421.59,421.17,421.35,1668260,MSFT
2026-03-06 09:50:00,422.04,422.36,421.47,421.81,1781089,MSFT
2026-03-06 09:55:00,421.47,422.15,421.18,421.57,2043775,MSFT
2026-03-06 10:00:00,421.56,422.06,421.26,421.81,1227614,MSFT
2026-03-06 10:05:00,422.01,422.1,421.49,421.77,2159363,MSFT
2026-03-06 10:10:00,421.91,422.11,421.43,421.74,2340797,MSFT
2026-03-06 10:15:00,421.68,422.05,421.55,421.85,2008739,MSFT
2026-03-06 10:20:00,421.81,422.29,421.62,421.88,888298,MSFT
2026-03-06 10:25:00,422.37,422.85,421.91,422.24,2026082,MSFT
2026-03-06 10:30:00,422.29,422.9,421.9,422.43,2133525,MSFT
2026-03-06 10:35:00,422.46,422.82,422.3,422.47,1914226,MSFT
2026-03-06 10:40:00,422.73,422.98,421.93,422.58,2668263,MSFT
2026-03-06 10:45:00,422.59,422.73,422.26,422.66,2327631,MSFT
2026-03-06 10:50:00,423.16,423.65,423.03,423.03,1630984,MSFT
2026-03-06 10:55:00,423.04,423.07,422.71,422.98,2158609,MSFT
2026-03-06 11:00:00,423.22,423.36,422.78,423.06,1794975,MSFT
2026-03-06 11:05:00,422.84,422.96,422.17,422.85,1978871,MSFT
2026-03-06 11:10:00,422.02,422.31,421.88,422.21,2240740,MSFT
2026-03-06 11:15:00,422.06,422.39,422.02,422.37,2116090,MSFT
2026-03-06 11:20:00,422.47,422.66,422.04,422.59,1753340,MSFT
2026-03-06 11:25:00,422.29,422.53,421.95,422.4,2390599,MSFT
2026-03-06 11:30:00,423.27,423.89,422.84,422.97,2338454,MSFT
2026-03-06 11:35:00,422.48,422.73,422.44,422.61,1851104,MSFT
2026-03-06 11:40:00,422.56,423.12,422.21,422.62,2539809,MSFT
2026-03-06 11:45:00,422.41,423.01,422.25,422.57,1712106,MSFT
2026-03-06 11:50:00,422.98,423.08,422.75,422.95,2347374,MSFT
2026-03-06 11:55:00,423.18,423.74,422.7,423.32,2305189,MSFT
2026-03-06 12:00:00,423.12,423.51,422.94,423.36,1973716,MSFT
2026-03-06 12:05:00,423.07,423.51,422.91,423.45,2044211,MSFT
